product_id,asins,brand,categories,dateAdded,dateUpdated,ean,keys,manufacturer,manufacturerNumber,name,upc,weight,text_reviews_count,ratings_count,avarage_rate,id
AVpgjaudilAPnD_xuDKC,B01364B00K,Belkin,"Computers,Portable Battery Packs yxdasxffaabvrfusya,Portable Chargers/Power Packs,Computers & Accessories,Computer Accessories,Computer Accessories & Peripherals,Portable Battery Packs ccbdtucwsuccsbzvxsect,Frys,Electronics,Portable Battery Packs,Cell Phones,Cell Phone Accessories,Cell Phone Batteries & Power,Batteries,Surge Protectors,Surge Protectors, Power Strips,PC Computers,Consumer Electronics,Mobile Power,Power Accessories,Multipurpose Batteries & Power,Rechargeable Batteries,Portable Battery Packs bcxsstqzbavv,Power, Cooling Racks",2015-11-16T07:06:48Z,2018-05-25T09:37:49Z,,"belkin/bst301tt,belkintravelrockstarsurgeprotectorwith2acoutlets/bebst301tt,745883685172,belkintravelrockstarsurgeprotectorwith2acoutlets/3982531,belkintravelrockstarsurgeprotectorwith2acoutlets/222581045638,travelrockstar3in12ausbdualoutletwallchargerwithinternal3000mahbatterypack/bebst301tt,belkintravelrockstarsurgeprotectorwith2acoutlets/4859664,belkintravelrockstarsurgeprotectorwith2acoutlets/b01364b00k",Belkin,BST301TT,Travel RockStar 3-in-1 2A USB and Dual-Outlet Wall Charger with Internal 3000mAh Battery Pack,7.46E+11,12.6,4,4,4.8,997
AVpiAzN7ilAPnD_x_wOJ,B00F6PRSMW,Bowers & Wilkins,"Headphones,Electronics,Over-Ear Headphones,Audio,Over-Ear & On-Ear Headphones",2015-09-11T00:49:56Z,2018-05-29T17:18:04Z,,"bowerswilkinsp7overearheadphonesblack/2436009,714346319701,bowerswilkinsp7wiredoverearheadphones/b00f6prsmw,bowerswilkinsp7headphonesblackwired/b00f6prsmw,bowerswilkins/p7",,P7,Bowers & Wilkins P7 Wired Over Ear Headphones,7.14E+11,38.88,270,260,4.5,887
AVpfnuDailAPnD_xfKZY,B01AEW9E46,JBL,"Mobile,Headphones,Bluetooth Headphones,Electronics,Audio,Over-Ear & On-Ear Headphones,Over-Ear Headphones,Shop Headphones by Type,Over-Ear and On-Ear Headphones,Frys",2016-05-30T13:32:26Z,2018-01-28T06:56:24Z,,"everestelite700aroundearwirelessheadphoneswhite/4403709,jbl/v700nxtwht,everestelite700aroundearwirelessheadphoneswhite/b01aew9e46,050036328623,everestelite700aroundearwirelessheadphoneswhite/jbv700nxtwht",JBL,V700NXTWHT,Everest Elite 700 Around-Ear Wireless Headphones (White),50036328623,10.8,11,2,5,446
AVpi-P111cnluZ0-SVqq,B00009WCBT,CLARITY-TELECOM,"Office,Office Technology,Phones & Accessories,Headsets & Accessories,Walmart for Business,Office Electronics,Phones,Home, Garage & Office,Telephones & Communication,Special Needs Telephones,Categories,Big Button & Amplified Telephones,Electronics Features,Connected Home & Housewares,Phones Video Conferencing,Analog Phones Accessories,Phone Accessories,Collaboration IP Telephony",2015-12-02T08:47:31Z,2018-05-02T14:03:29Z,7.60E+11,"759599751809,0759599751809,allroundsoftware/claritysr200,claritysuperloudphoneringerwhite/2193417,claritysuperloudphoneringerwhite/b00009wcbt,claritysuperloudphoneringerwhite/2056242,claritytelecom/claritysr200,claritysuperloudphoneringerwhite/563251985",Allround Software,CLARITY-SR-200,Clarity - Super-Loud Phone Ringer - White,7.60E+11,19.2,11,11,4.9,556
AVpg8GjjLJeJML43Uplr,B00RZYD51A,House of Marley,"Headphones,Electronics,Over-Ear Headphones,Audio,Over-Ear & On-Ear Headphones",2015-09-11T00:49:09Z,2018-05-29T17:18:33Z,,"846885005156,houseofmarleyemdh003psttrnoisecancellingoverearheadphonesblack/b00rzyd51a,houseofmarleyemdh003psttrnoisecancellingoverearheadphonesblack/9sia7vt3mm0380,houseofmarleyemdh003psttrnoisecancellingoverearheadphonesblack/2866123,houseofmarley/emdh003ps",,EM-DH003-PS,House of Marley EM-DH003-PS TTR Noise-Cancelling Over-Ear Headphones (Black),8.47E+11,44.8,148,140,4.4,775
AV2Zps11GV-KLJ3al16A,B0742RMVQ8,Toshiba,"Home Theater Systems,Portable Audio & Video,Electronics,MP3 & MP4 Player Accessories,Home Audio,Home Audio & Theater,All Home Stereos,Audio,Stereo Shelf Systems",2017-07-31T17:17:11Z,2018-05-29T17:19:20Z,,"toshiba30wmainunitspeakersystemcombosetblack/5937008,toshibamicrocomponentspeakersystemwirelessbluetoothspeakersoundsystemwithfm/b0742rmvq8,toshiba30wmainunitspeakersystemcombosetblack/b0742rmvq8,toshiba/tyasw91,toshiba30wmainunitspeakersystemcombosetblack/564830042,818723020126",,TY-ASW91,Toshiba Micro Component Speaker System: Wireless Bluetooth Speaker Sound System with FM,8.19E+11,163.2,3,3,4.3,224
AVpe5iL11cnluZ0-ZVzB,B00L2EWRW2,Kicker,"Electronics,Home Audio & Theater,Home Audio,All Home Speakers,Speaker Systems,Audio,Bluetooth & Wireless Speakers,All Bluetooth & Wireless Speakers,Stereos,Speakers",2015-09-11T01:06:05Z,2018-01-08T19:08:30Z,,"kicker41ik5bt2v2amphitheaterhighperformanceaudiosystemwithbluetoothblack/4415503,kicker/41ik5bt2v2,kicker41ik5bt2v2amphitheaterhighperformanceaudiosystemwithbluetoothblack/b00l2ewrw2,kicker41ik5bt2v2amphitheaterhighperformanceaudiosystemwithbluetoothblack/553124514,713034070733",,41IK5BT2V2,"Kicker 41IK5BT2V2 Amphitheater High-Performance Audio System with Bluetooth, Black",7.13E+11,220.8,69,69,4.1,113
AVpe9BGF1cnluZ0-annA,B00PASUGTC,SVS,"Speaker Separates,Center Channel Speakers,Electronics,TVs Entertainment,Speakers,Home Audio,Center-Channel Speakers,Audio,Speaker Separates baesfadqwexxbctqsw",2015-07-13T15:49:50Z,2018-06-05T22:49:05Z,,"850071005356,primethreewaycenterchannelspeakerpremiumblackash/b00pasugtc,primethreewaycenterchannelspeakerpremiumblackash/5707703,svs/primecenterblackash,primethreewaycenterchannelspeakerpremiumblackash/svprmcntrbka",,PRIME CENTER - BLACK ASH,Prime Three-Way Center Channel Speaker (Premium Black Ash),8.50E+11,323.2,123,108,4.9,119
AVpfVI9wilAPnD_xZxH-,B008JJLZ7G,WD,"Computers,Internal Hard Drives,Internal Drives,Drives, Storage & Blank Media,Computers & Accessories,Hard Drives (HDD, SSD & NAS),Computer Accessories & Peripherals,Internal Hard Disk Drives,Electronics,Hard Drives & Storage,Drives Storage,Computers/Tablets & Networking,Computer Components,Computers & Tablets,Data Storage",2015-08-16T21:01:50Z,2018-06-05T12:48:22Z,,"2tbred5400rpmsataiii35internalnashdd/b008jjlz7g,wd/wd20efrx,718037799667,2tbred5400rpmsataiii35internalnashdd/2764463,2tbred5400rpmsataiii35internalnashdd/wewd20efrx,2tbred5400rpmsataiii35internalnashdd/142445493836,2tbred5400rpmsataiii35internalnashdd/6560007",,WD20EFRX,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,21.12,88,88,4.9,664
AV15fqDs-jtxr-f38R4C,B073JHHNJ9,Netgear,"Computers,Wireless Networking rwtaqbstbwzzteq,Networking,Computers & Accessories,Wireless Adapters Cards,Wireless Networking,Electronics,Networking Products,Network Adapters,Networking Cables & Accessories,USB Network Adapters",2017-07-25T11:25:28Z,2018-06-07T01:32:44Z,,"606449120882,netgear/a700010000s,nighthawkac1900dualbandwifiusbadapter/b073jhhnj9,nighthawkac1900dualbandwifiusbadapter/nea7000",,A7000-10000S,Nighthawk AC1900 Dual-Band Wi-Fi USB Adapter,6.06E+11,2.352,477,477,4.6,553
